,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
45,46,0,good,22,quickshift,blend_3,100,100,False,30000,5000,3,0.1140722639488736,lm_p_maxloss,9.524554730415389,0.9858045112337643,1.5166811923074082,0.7350632,0.7350631772348452,0.7350632,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002614444058660107,0.31684414,9.27745,0.0,0.0,0.0,0.0,0.0
46,47,0,good,23,quickshift,blend_2,100,100,False,30000,5000,3,0.0993639222764281,lm_p_maxloss,9.905002621291455,0.9773336202178917,1.4707724867175842,0.44058484,0.4405848426798217,0.44058484,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.001956774950182686,0.34876397,9.442942,0.0,0.0,0.0,0.0,0.0
47,48,0,good,23,quickshift,blend_3,100,100,False,30000,5000,3,0.11159181739176613,lm_p_maxloss,9.94672836814199,0.9844027223725662,1.6331516168509461,0.52091664,0.5209166542584283,0.52091664,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.001956774950182686,0.34876397,9.442942,0.0,0.0,0.0,0.0,0.0
48,49,0,good,24,quickshift,blend_2,100,100,False,30000,5000,3,0.11482166458095217,lm_p_maxloss,7.647429320138341,0.9903518681674194,1.8287729469700271,0.63070476,0.6307047819575342,0.63070476,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002435959734915135,0.25008622,7.476999,0.0,0.0,0.0,0.0,0.0
49,50,0,good,24,quickshift,blend_3,100,100,False,30000,5000,3,0.11808074465976641,lm_p_maxloss,7.663865793296882,0.991332851233221,1.8715083383506785,0.62139344,0.6213934603719771,0.62139344,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002435959734915135,0.25008622,7.476999,0.0,0.0,0.0,0.0,0.0
50,51,0,good,25,quickshift,blend_2,100,100,False,30000,5000,3,0.08482867548413374,lm_p_maxloss,7.141517217396089,0.9948385840850094,1.2490334671704622,0.39925045,0.39925044339897797,0.39925045,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0018293777763271162,0.25937763,7.145478,0.0,0.0,0.0,0.0,0.0
51,52,0,good,25,quickshift,blend_3,100,100,False,30000,5000,3,0.09133109614737178,lm_p_maxloss,7.156314913260271,0.9958783695150123,1.3440177228097807,0.45830414,0.4583041327869431,0.45830414,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0018293777763271162,0.25937763,7.145478,0.0,0.0,0.0,0.0,0.0
52,53,0,good,26,quickshift,blend_2,100,100,False,30000,5000,3,0.09350035697963253,lm_p_maxloss,6.909149628102002,0.9947527052562543,1.432164045794381,0.5178654,0.5178654121832923,0.5178654,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020894529449530332,0.3509929,6.9288898,0.0,0.0,0.0,0.0,0.0
53,54,0,good,26,quickshift,blend_3,100,100,False,30000,5000,3,0.09345769659248675,lm_p_maxloss,6.893222688969882,0.9939559050666609,1.4413100506797072,0.5261391,0.5261390774801293,0.5261391,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020894529449530332,0.3509929,6.9288898,0.0,0.0,0.0,0.0,0.0
54,55,0,good,27,quickshift,blend_2,100,100,False,30000,5000,3,0.13041309884442498,lm_p_maxloss,10.17859743073055,0.9806499695018239,1.6282671359213707,0.7298736,0.7298735953259179,0.7298736,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0031212258618324995,0.26316696,9.707975,0.0,0.0,0.0,0.0,0.0
