,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
43,44,1,scratch_head,19,quickshift,blend_2,100,100,False,30000,5000,3,0.6545855380792576,lm_p_loss,1.8700250281839197,3.9344635,3.934463385992931,2.5084593,0.09382151029748284,0.012434255056332659,0.019375774050097955,0.36363636363636365,0.03576914188924926,0.06406766754663641,0.018300214602883596,0.34335977,38.250843,0.9794750642850001,0.9797899600485328,0.985013349491018,0.9904561212900876,0.9797899600485328
44,45,1,scratch_head,20,quickshift,blend_2,100,100,False,30000,5000,3,0.494529547820553,lm_p_loss,1.8458547423990357,3.954021,3.9540209075894133,3.954021,0.19289340101522842,0.01059036304481392,0.024569902887815114,0.2875,0.026415331703239776,0.04509453235581888,0.011658564275421668,0.30477285,28.315163,0.9330839039618483,0.9701837776784243,0.9959934426743848,0.9973645198484599,0.9699092484959723
45,46,1,scratch_head,21,quickshift,blend_2,100,100,False,30000,5000,3,0.42555075375668294,lm_p_loss,1.5535137064739188,2.5179033,2.5179032238842405,2.4834847,0.07848837209302326,0.007714449295092662,0.01422487192422255,0.37142857142857144,0.023621179401457887,0.05064910447782836,0.007700641862660025,0.25379613,31.586575,0.8795273513943248,0.968234008072407,0.9875932607632094,0.988436047578278,0.9682340080724069
46,47,1,scratch_head,22,quickshift,blend_2,100,100,False,30000,5000,3,0.4587334373890895,lm_p_loss,1.873402830942592,3.8096137,3.809613799776941,3.8096137,0.125,0.006280475571229313,0.014798585815075531,0.34375,0.021805247620425777,0.050531021484837055,0.009521244857751299,0.3427966,26.22387,0.9340906312853506,0.9952939738418285,0.9989637852674157,0.9985165183184985,0.9952939738418286
47,48,1,scratch_head,23,quickshift,blend_2,100,100,False,30000,5000,3,0.5785041419339255,lm_p_loss,2.0138176690939704,4.4878726,4.487872407234784,4.4878726,0.17050691244239632,0.010211826538124025,0.020278463896807274,0.5333333333333333,0.03225888962988319,0.07859094821278459,0.009412067127414048,0.31727058,34.559914,0.9138216946989198,0.9944944026426867,0.997970534307477,0.9973497079388068,0.9944944026426867
48,49,2,scratch_neck,0,quickshift,blend_2,100,100,False,30000,5000,3,0.5047786461428225,lm_p_loss,1.530522941170409,3.3206818,3.3206817839257305,0.8518332,0.013439218081857055,0.004905023887899343,0.003380707300860669,0.024553571428571428,0.008384384292913384,0.006968777276327705,0.0021352966820510724,0.279867,35.263474,0.8537345610326027,0.8040085679314566,0.8181206186714143,0.8222293312562591,0.8040085679314565
49,50,2,scratch_neck,1,quickshift,blend_2,100,100,False,30000,5000,3,0.4635709664593711,lm_p_loss,1.569402476285809,2.3602047,2.3602046635667153,1.6122016,0.42592592592592593,0.031126384812905247,0.06186974893727438,0.4791666666666667,0.07704399901337557,0.10660424545468693,0.011413881176849827,0.4009449,30.54644,0.9323568926445917,0.959203231964036,0.9773838177969241,0.9879437106952936,0.959203231964036
50,51,2,scratch_neck,2,quickshift,blend_2,100,100,False,30000,5000,3,0.3846701129473875,lm_p_loss,1.5025370845997548,2.5104113,2.510411300164766,2.5104113,0.2604166666666667,0.013354975047287769,0.03211696729784015,0.4666666666666667,0.030780464342666472,0.06356720825858005,0.009544874449299337,0.29421607,27.747559,0.9022497565025787,0.8098883903622922,0.9785469457705961,0.9882615614704583,0.8098883903622922
51,52,2,scratch_neck,3,quickshift,blend_2,100,100,False,30000,5000,3,0.6142101083446079,lm_p_loss,1.9102170835101706,4.979164,4.979164220334012,4.979164,0.6666666666666666,0.020374281928520515,0.07009837607015927,0.46,0.041699424180865495,0.08065687580084417,0.04258470665809,0.39592302,33.824944,0.9834970741557137,0.9203268946352806,0.9970763943091918,0.9968405955857883,0.9203268946352805
52,53,2,scratch_neck,4,quickshift,blend_2,100,100,False,30000,5000,3,0.3934994437073909,lm_p_loss,1.6888002561497284,2.285897,2.285897109062852,2.2360125,0.06862745098039216,0.013966821379101211,0.01626402393733073,0.5060240963855421,0.054084441493219115,0.0911729950720708,0.015245780921153104,0.3766873,28.931654,0.9390932838406633,0.9279845496096727,0.9673195722017509,0.9703767087173585,0.931063781067246
53,54,2,scratch_neck,5,quickshift,blend_2,100,100,False,30000,5000,3,0.3165644726620871,lm_p_loss,1.4240505307590494,2.0212486,2.0212486629845197,2.0212486,0.05238095238095238,0.005891291540561968,0.006883350397903895,0.08888888888888889,0.013772088811925565,0.013825693921403018,0.0052714127717384445,0.25672904,24.898146,0.9773520417341248,0.9181696348264077,0.9551088325238353,0.9570912034538586,0.9181696348264076
54,55,2,scratch_neck,6,quickshift,blend_2,100,100,False,30000,5000,3,0.4425876494245025,lm_p_loss,1.6573637281211027,2.4274938,2.4274937744859884,2.4204526,0.31351351351351353,0.022560472099094432,0.04559927353033772,0.3564356435643564,0.039266146299415876,0.061225053467993784,0.008947530717705376,0.33917624,30.649113,0.9284456325380889,0.9871697644164833,0.9938254963664324,0.9929403050130889,0.9871697644164834
55,56,2,scratch_neck,7,quickshift,blend_2,100,100,False,30000,5000,3,0.6352859287412974,lm_p_loss,1.7879027171076127,3.1769116,3.176911597738492,2.7910116,0.08405797101449275,0.015559235990229443,0.01888688163805579,0.16778523489932887,0.022052326793775823,0.028630307889792202,0.013054674122637758,0.31269726,40.178253,0.9235537849877854,0.9722772198182951,0.9783114318712842,0.9794011826257273,0.9722772198182951
56,57,2,scratch_neck,8,quickshift,blend_2,100,100,False,30000,5000,3,0.6247423373749835,lm_p_loss,1.792996094849868,3.359176,3.359175948518514,2.581794,0.5416666666666666,0.02718917412772865,0.07229505053040945,0.46236559139784944,0.05375849502620792,0.08900788168350166,0.036421713783056475,0.45526034,37.533226,0.9823017138030625,0.9737331242166638,0.99373501444063,0.9945157961418996,0.9737331242166639
57,58,2,scratch_neck,9,quickshift,blend_2,100,100,False,30000,5000,3,0.5774990807530054,lm_p_loss,2.216137027726701,5.2321033,5.232103441380312,5.2321033,0.2702702702702703,0.009198057534372743,0.027643394184183052,0.42,0.03556080942212459,0.0746091041264137,0.04125519852338281,0.35116506,27.674595,0.9946286404530517,0.9397792785373085,0.9889686330799821,0.9967103560251312,0.9397792785373085
58,59,2,scratch_neck,10,quickshift,blend_2,100,100,False,30000,5000,3,0.32169289260709777,lm_p_loss,1.4031914337343367,1.8638792,1.8638791656309175,1.7387402,0.39759036144578314,0.02815720527306165,0.06312033671546878,0.3016759776536313,0.042905175250363706,0.06091850780207119,0.005889684257757229,0.3552034,25.086277,0.9261402717554252,0.9573260502409081,0.9973032737802794,0.9981809065736796,0.9573260502409081
59,60,2,scratch_neck,11,quickshift,blend_2,100,100,False,30000,5000,3,0.46793608772819517,lm_p_loss,1.6460990899262662,2.2883348,2.288334932140667,1.8203516,0.01866977829638273,0.0036839428328989503,0.0035466274666718536,0.03409090909090909,0.006891316831967482,0.007425671486683315,0.0034198497499649725,0.28293177,30.832638,0.8930317848410758,0.8935742665036674,0.9445064180929096,0.9464445802770985,0.8935742665036676
60,61,2,scratch_neck,12,quickshift,blend_2,100,100,False,30000,5000,3,0.365271646681471,lm_p_loss,1.5141198504254478,2.0383947,2.0383947951098884,1.7019889,0.26495726495726496,0.015621214680716655,0.03616077056713848,0.36283185840707965,0.040960124926694444,0.06026969740500533,0.007447584207208517,0.38046607,26.341274,0.9741548281353627,0.9214696675917831,0.9527958365543432,0.9593920423103406,0.9214696675917831
61,62,2,scratch_neck,13,quickshift,blend_2,100,100,False,30000,5000,3,0.6567075912053313,lm_p_loss,1.7550879431048387,3.8872817,3.887281647171083,1.3843437,0.06379310344827586,0.009552055317781766,0.011965210140626225,0.3064516129032258,0.03511547263307179,0.049336594351820556,0.04199814562646983,0.3734736,41.494507,0.9321264593991867,0.933628180381427,0.973887295965218,0.9756026561221366,0.9328635770194211
